id,fullname,age,gender,math_grade,literature_grade,attendance,participation,homework,midterm_grade,final_grade
1,Жумабаев Эрмек,21,male,59,85,86,medium,6,96,62
2,Токтосунов Канат,22,male,76,85,60,high,4,96,55
3,Шаршенов Рустам,18,male,82,62,55,high,6,54,74
4,Кудайбергенов Гулнара,18,female,87,90,55,low,0,50,95
5,Шаршенов Асель,19,male,94,80,93,medium,7,85,79
6,Кудайбергенов Эльмира,21,female,74,98,97,low,5,76,69
7,Кубатбеков Эрмек,23,male,84,78,89,high,0,67,53
8,Исмаилов Айжан,18,female,86,85,86,medium,5,74,85
9,Асанов Гулнара,19,female,93,63,62,high,0,51,83
10,Токтосунов Эрмек,19,female,79,73,96,medium,5,57,92
11,Жумабаев Жанат,18,male,98,90,52,medium,5,72,89
12,Асанов Тимур,21,female,83,50,100,medium,8,100,77
13,Токтосунов Марат,23,female,90,95,94,medium,6,89,53
14,Усенов Назгуль,19,female,71,67,65,low,4,69,96
15,Асанов Айбек,22,female,97,86,87,medium,7,52,74
16,Токтосунов Жамиля,22,male,87,84,72,low,7,84,51
17,Бекмурзаев Марат,25,female,61,52,57,medium,3,64,96
18,Кубатбеков Айбек,23,female,82,96,61,low,5,76,99
19,Кудайбергенов Айжан,22,female,92,65,75,high,1,76,52
20,Кубатбеков Айбек,25,female,62,57,72,low,7,78,81
21,Исмаилов Нурлан,22,male,54,86,100,high,5,80,74
22,Усенов Асель,23,male,77,85,90,high,10,66,68
23,Шаршенов Айбек,23,female,73,93,89,high,5,64,99
24,Сариев Рустам,24,male,94,89,63,high,4,93,55
25,Кубатбеков Эрмек,22,female,86,98,82,high,1,95,74
26,Токтосунов Жамиля,19,male,51,70,61,low,4,96,82
27,Исмаилов Канат,25,male,76,58,66,low,9,75,78
28,Токтосунов Канат,22,male,97,99,82,medium,8,100,98
29,Кубатбеков Эрмек,18,female,60,61,57,medium,1,78,69
30,Жумабаев Рустам,25,female,56,97,56,medium,4,74,67
31,Усенов Асель,25,female,73,98,97,medium,5,56,65
32,Кубатбеков Айгуль,22,male,77,69,98,medium,2,97,83
33,Кудайбергенов Жанат,22,female,58,50,91,medium,2,60,90
34,Жумабаев Рустам,19,male,98,96,55,high,10,66,50
35,Исмаилов Айгуль,20,female,54,97,68,low,5,61,74
36,Кубатбеков Рустам,25,male,70,76,98,high,3,73,83
37,Жумабаев Тимур,19,female,82,87,78,medium,2,94,54
38,Кубатбеков Жанара,23,male,94,97,80,low,9,77,56
39,Кудайбергенов Нурлан,21,male,85,95,71,medium,9,54,96
40,Сариев Нурлан,21,female,79,85,76,low,7,93,58
41,Токтосунов Кундуз,23,male,65,88,69,high,5,96,88
42,Кубатбеков Канат,22,male,60,70,55,high,10,55,87
43,Асанов Рустам,20,male,68,52,70,medium,9,96,84
44,Исмаилов Канат,22,female,97,94,87,high,0,96,57
