id,fullname,age,gender,math_grade,literature_grade,attendance,participation,homework,midterm_grade,final_grade
1,Асанов Жанара,20,male,89,62,93,high,9,97,57
2,Бекмурзаев Эльмира,22,female,60,66,63,high,9,67,81
3,Исмаилов Марат,24,female,53,75,81,high,7,93,54
4,Асанов Айбек,24,male,57,56,97,low,0,86,98
5,Усенов Жанат,18,female,97,62,82,high,7,92,81
6,Сариев Жанара,23,male,61,76,58,low,7,96,99
7,Бекмурзаев Гулнара,24,male,52,63,92,high,10,66,62
8,Шаршенов Жамиля,19,female,65,96,93,high,9,68,98
9,Асанов Айбек,20,male,87,57,67,high,6,63,90
10,Усенов Жанара,23,male,55,59,50,low,0,83,99
11,Асанов Эльмира,18,male,78,52,70,high,9,91,50
12,Токтосунов Жанат,19,female,67,51,66,high,6,63,99
13,Жумабаев Нурлан,22,female,98,65,60,high,5,62,64
14,Кудайбергенов Азиз,20,male,53,83,52,medium,2,61,94
15,Токтосунов Айжан,22,male,99,62,52,medium,6,57,100
16,Кубатбеков Нурлан,22,female,59,97,65,low,8,66,96
17,Усенов Азиз,24,female,100,62,84,medium,1,64,100
18,Шаршенов Бакыт,24,female,84,99,81,medium,6,56,67
19,Кудайбергенов Айбек,22,male,84,77,61,low,3,62,58
20,Токтосунов Эльмира,23,male,73,94,76,low,8,55,66
21,Кудайбергенов Бакыт,24,male,71,84,96,low,2,72,73
22,Усенов Кундуз,20,female,55,91,50,medium,6,95,93
23,Исмаилов Айгуль,25,male,55,71,62,high,7,61,79
24,Шаршенов Кундуз,20,female,84,78,50,medium,6,88,79
25,Бекмурзаев Жанат,20,female,63,79,97,high,3,69,64
26,Шаршенов Рустам,18,female,88,69,87,medium,1,68,72
27,Сариев Тимур,25,male,70,97,68,high,6,54,69
28,Кубатбеков Бакыт,21,male,50,52,64,medium,2,53,87
29,Исмаилов Бакыт,25,male,61,99,79,medium,1,74,60
30,Исмаилов Жанара,24,male,78,54,57,medium,4,97,92
31,Сариев Айжан,18,male,73,51,92,high,0,99,92
32,Бекмурзаев Эрмек,24,female,92,69,97,high,4,80,72
33,Усенов Жамиля,21,male,84,96,69,high,5,91,77
34,Шаршенов Айбек,25,male,78,71,69,medium,8,66,57
35,Кудайбергенов Айжан,23,male,61,100,93,low,1,75,76
36,Кубатбеков Бакыт,20,female,96,70,61,high,10,54,69
37,Усенов Айжан,20,male,94,62,81,high,6,79,52
38,Усенов Кундуз,22,male,50,57,83,low,7,80,54
39,Кудайбергенов Айжан,19,male,85,71,96,low,1,69,57
40,Шаршенов Кундуз,20,male,78,79,52,medium,10,99,91
41,Сариев Бегимай,21,female,83,94,96,high,3,90,77
42,Жумабаев Асель,21,male,85,72,94,low,6,82,86
43,Усенов Назгуль,18,male,92,77,62,medium,2,76,74
44,Бекмурзаев Эрмек,23,male,77,93,87,medium,6,52,90
45,Бекмурзаев Асель,21,female,50,92,68,medium,1,85,60
46,Кубатбеков Назгуль,20,male,83,82,69,low,10,69,95
47,Асанов Канат,19,male,67,97,51,medium,8,85,79
48,Сариев Жанат,20,female,54,75,57,medium,0,83,50
49,Жумабаев Тимур,23,female,73,55,92,high,7,90,63
50,Шаршенов Кундуз,20,male,64,50,69,high,4,95,69
51,Токтосунов Марат,23,female,72,67,84,low,0,67,78
52,Асанов Эльмира,18,male,66,56,78,low,4,84,85
53,Бекмурзаев Жанат,23,male,55,61,61,medium,0,57,97
54,Усенов Айжан,21,male,94,82,76,low,10,76,99
55,Исмаилов Айжан,24,female,56,57,86,high,0,69,98
56,Асанов Назгуль,20,male,77,88,69,medium,10,55,87
57,Бекмурзаев Жанара,21,male,51,59,94,high,0,55,57
58,Кубатбеков Кундуз,20,female,54,84,78,low,0,73,95
59,Сариев Тимур,22,female,90,76,67,high,8,88,52
60,Исмаилов Рустам,25,male,80,83,88,medium,8,86,56
61,Кудайбергенов Гулнара,19,male,67,100,53,low,7,95,96
62,Бекмурзаев Кундуз,23,male,69,82,97,medium,4,96,77
63,Усенов Жамиля,21,female,94,65,100,high,5,99,96
64,Токтосунов Канат,23,female,58,92,78,medium,1,50,83
65,Токтосунов Рустам,18,female,68,75,87,low,10,83,72
66,Токтосунов Рустам,20,female,67,85,50,low,5,87,68
67,Сариев Эрмек,18,male,62,64,51,low,8,52,88
68,Токтосунов Айбек,18,female,73,93,69,high,6,50,61
69,Шаршенов Кундуз,24,female,58,89,96,low,9,67,97
70,Усенов Бегимай,19,female,72,85,58,medium,2,71,98
71,Усенов Бакыт,18,male,74,82,91,low,9,93,82
72,Сариев Гулнара,24,female,83,56,71,high,5,60,54
73,Кудайбергенов Нурлан,19,male,51,90,81,medium,4,62,64
74,Жумабаев Рустам,19,male,78,84,50,low,3,70,88
75,Асанов Кундуз,18,female,98,82,88,high,3,69,71
76,Асанов Нурлан,25,female,76,54,77,low,5,85,88
77,Кубатбеков Азиз,25,female,88,64,63,high,1,74,60
78,Кудайбергенов Айгуль,21,male,68,56,61,medium,1,54,50
79,Кудайбергенов Канат,24,male,69,91,52,medium,1,51,85
80,Токтосунов Айжан,21,female,62,98,98,high,6,59,88
81,Жумабаев Эльмира,20,male,65,61,56,medium,8,57,91
82,Жумабаев Марат,23,female,86,68,82,high,6,97,65
83,Асанов Азиз,23,male,88,61,68,high,10,94,56
84,Шаршенов Асель,25,female,80,89,100,low,6,55,62
85,Сариев Кундуз,25,female,59,50,81,medium,1,82,90
86,Асанов Канат,18,male,61,68,91,medium,5,92,50
87,Усенов Кундуз,18,female,70,72,85,high,5,79,59
88,Кудайбергенов Марат,18,male,54,81,76,medium,4,81,86
